Prefix	NamespaceIRI	SourceIRI	Title	SourceFormat	ReasonForInclusion
AS	http://www.w3.org/ns/activitystreams#	https://www.w3.org/ns/activitystreams-owl	Activity Streams	ttl	RDFa Initial Context
CC	http://creativecommons.org/ns#	https://creativecommons.org/schema.rdf	Creative Commons	rdf	RDFa Initial Context
CSVW	http://www.w3.org/ns/csvw#	https://www.w3.org/ns/csvw.ttl	CSV on the Web	ttl	RDFa Initial Context
CTAG	http://commontag.org/ns#		CommonTag (defunct)	--	RDFa Initial Context
DC	http://purl.org/dc/terms/	https://www.dublincore.org/specifications/dublin-core/dcmi-terms/dublin_core_terms.nt	Dublin Core DCMI Metadata Terms	ttl	RDFa Initial Context
DC11	http://purl.org/dc/elements/1.1/	https://www.dublincore.org/specifications/dublin-core/dcmi-terms/dublin_core_elements.nt	Dublin Core (the original fifteen-element)	ttl	RDFa Initial Context
DCAT	http://www.w3.org/ns/dcat#	https://www.w3.org/ns/dcat2.ttl	Data catalog vocabulary	ttl	RDFa Initial Context
DCTERMS	http://purl.org/dc/terms/	https://www.dublincore.org/specifications/dublin-core/dcmi-terms/dublin_core_terms.nt	Dublin Core DCMI Metadata Terms	ttl	RDFa Initial Context
DQV	http://www.w3.org/ns/dqv#	https://www.w3.org/ns/dqv.ttl	Data Quality Vocabulary	ttl	RDFa Initial Context
DUV	http://www.w3.org/ns/duv#		Dataset Usage Vocabulary	ttl	RDFa Initial Context
FOAF	http://xmlns.com/foaf/0.1/	http://xmlns.com/foaf/spec/index.rdf	Friend of a Friend: linking people and information using the Web	rdf	RDFa Initial Context
GR	http://purl.org/goodrelations/v1#	http://www.heppnetz.de/ontologies/goodrelations/v1.owl	The GoodRelations Vocabulary for Semantic Web-based E-Commerce	rdf	RDFa Initial Context
GRDDL	http://www.w3.org/2003/g/data-view#	https://www.w3.org/2003/g/data-view.rdf	Gleaning resource descriptions from dialects of languages (defunct?)	rdf	RDFa Initial Context
ICAL	http://www.w3.org/2002/12/cal/icaltzd#		iCalendar	rdf	RDFa Initial Context
JSONLD	http://www.w3.org/ns/json-ld#	https://www.w3.org/ns/json-ld.ttl	The JSON-LD Vocabulary	ttl	RDFa Initial Context
LDP	http://www.w3.org/ns/ldp#	https://www.w3.org/ns/ldp.ttl	The W3C Linked Data Platform (LDP) Vocabulary	ttl	RDFa Initial Context
MA	http://www.w3.org/ns/ma-ont#	https://www.w3.org/ns/ma-ont.ttl	Ontology for Media Resources 1.0	ttl	RDFa Initial Context
OA	http://www.w3.org/ns/oa#	https://www.w3.org/ns/oa.ttl	Web Annotation	ttl	RDFa Initial Context
ODRL	http://www.w3.org/ns/odrl/2/	https://www.w3.org/ns/odrl/2/ODRL22.ttl	Open Digital Rights Language 2.0	ttl	RDFa Initial Context
OG	http://ogp.me/ns#	https://ogp.me/ns/ogp.me.ttl	The Open Graph protocol	ttl	RDFa Initial Context
ORG	http://www.w3.org/ns/org#		Core organization ontology	ttl	RDFa Initial Context
OWL	http://www.w3.org/2002/07/owl#		The OWL 2 Schema vocabulary (OWL 2)	ttl	RDFa Initial Context
PROV	http://www.w3.org/ns/prov#	https://www.w3.org/ns/prov.ttl	Provenance (PROV)	ttl	RDFa Initial Context
QB	http://purl.org/linked-data/cube#		The data cube vocabulary	ttl	RDFa Initial Context
RDF	http://www.w3.org/1999/02/22-rdf-syntax-ns#		The RDF Concepts Vocabulary (RDF)	ttl	RDFa Initial Context
RDFA	http://www.w3.org/ns/rdfa#	https://www.w3.org/ns/rdfa.ttl	RDFa Vocabulary for Term and Prefix Assignment	ttl	RDFa Initial Context
